,B_mag_0_0,G_mag_0_0,H_mag_0_0,J_mag_0_0,K_mag_0_0,Kepler_mag_0_0,Teff_0_0,V_mag_0_0,W1_mag_0_0,W2_mag_0_0,W3_mag_0_0,age_0_0,g_mag_0_0,i_mag_0_0,logL_0_0,logg_0_0,mass_0_0,r_mag_0_0,radius_0_0,z_mag_0_0,age_0,feh_0,distance_0,AV_0,B_mag,G_mag,H_mag,J_mag,K_mag,Kepler_mag,V_mag,W1_mag,W2_mag,W3_mag,g_mag,i_mag,r_mag,z_mag,lnprob
3005,16.073269448,14.2730170889,11.7615854019,12.3768657708,11.6029222618,14.310175455,4682.82820351,14.8645154583,11.4752879194,11.4443368517,11.5920005128,10.0508118173,15.5376231255,13.9339239591,-0.995176402899,4.78223772373,0.514581573005,14.4326436884,0.482861220119,13.6140273039,10.0508118173,-1.56138111821,180.495599948,0.986461128638,16.073269448,14.2730170889,11.7615854019,12.3768657708,11.6029222618,14.310175455,14.8645154583,11.4752879194,11.4443368517,11.5920005128,15.5376231255,13.9339239591,14.4326436884,13.6140273039,-160.804581913
3006,16.0626590569,14.2645843776,11.7739069802,12.3722832193,11.6087263538,14.3014530936,4673.27582218,14.8562748152,11.4699963414,11.4281547731,11.5730933132,10.0745670471,15.5298795267,13.9225505387,-1.02830614384,4.80236986266,0.506510996099,14.4258374874,0.468083768879,13.6009035245,10.0745670471,-1.78466680732,173.541282769,0.977072118337,16.0626590569,14.2645843776,11.7739069802,12.3722832193,11.6087263538,14.3014530936,14.8562748152,11.4699963414,11.4281547731,11.5730933132,15.5298795267,13.9225505387,14.4258374874,13.6009035245,-160.804578735
3007,16.054881281,14.2616899969,11.7554682507,12.37108415,11.5985635888,14.2986711247,4693.64818783,14.8504119375,11.4731837115,11.4439721275,11.5923096446,10.0094488968,15.5204478791,13.924994159,-0.986755405977,4.78201841598,0.519014327821,14.4206575409,0.485058969467,13.6071029186,10.0094488968,-1.53281539484,181.55601185,0.985501062768,16.054881281,14.2616899969,11.7554682507,12.37108415,11.5985635888,14.2986711247,14.8504119375,11.4731837115,11.4439721275,11.5923096446,15.5204478791,13.924994159,14.4206575409,13.6071029186,-160.802021031
3008,16.0666409595,14.2597753365,11.7606160889,12.3610274077,11.5951590623,14.2987929375,4679.99072874,14.8564543009,11.4565965286,11.4151416523,11.5655286294,10.1271002874,15.5321433117,13.9177390393,-1.01973669466,4.79597658872,0.504418065951,14.4240326022,0.4705665975,13.5934298245,10.1271002874,-1.75983694256,173.771934507,0.999485540062,16.0666409595,14.2597753365,11.7606160889,12.3610274077,11.5951590623,14.2987929375,14.8564543009,11.4565965286,11.4151416523,11.5655286294,15.5321433117,13.9177390393,14.4240326022,13.5934298245,-160.801666643
3009,16.0666409595,14.2597753365,11.7606160889,12.3610274077,11.5951590623,14.2987929375,4679.99072874,14.8564543009,11.4565965286,11.4151416523,11.5655286294,10.1271002874,15.5321433117,13.9177390393,-1.01973669466,4.79597658872,0.504418065951,14.4240326022,0.4705665975,13.5934298245,10.1271002874,-1.75983694256,173.771934507,0.999485540062,16.0666409595,14.2597753365,11.7606160889,12.3610274077,11.5951590623,14.2987929375,14.8564543009,11.4565965286,11.4151416523,11.5655286294,15.5321433117,13.9177390393,14.4240326022,13.5934298245,-160.801666643
3010,16.0678427814,14.2679738733,11.7648709965,12.372437063,11.6023325283,14.3034223017,4661.91526483,14.8581535704,11.4683906481,11.4317102244,11.5734985087,10.1206326107,15.53302579,13.9253368715,-1.019994454,4.79069785246,0.506467205594,14.4263584444,0.474395775217,13.604928955,10.1206326107,-1.67913009142,175.85720526,0.965933241835,16.0678427814,14.2679738733,11.7648709965,12.372437063,11.6023325283,14.3034223017,14.8581535704,11.4683906481,11.4317102244,11.5734985087,15.53302579,13.9253368715,14.4263584444,13.604928955,-160.801590573
3011,16.0570501823,14.2651750615,11.7535595115,12.3740894269,11.5980604436,14.3003242722,4680.74697892,14.8513845826,11.4751807203,11.4486807554,11.5921805798,10.0839512067,15.5220267403,13.927590943,-0.985491543742,4.7744152465,0.518632081124,14.4210993184,0.489143334374,13.6111710668,10.0839512067,-1.4975312665,182.82070163,0.96833105339,16.0570501823,14.2651750615,11.7535595115,12.3740894269,11.5980604436,14.3003242722,14.8513845826,11.4751807203,11.4486807554,11.5921805798,15.5220267403,13.927590943,14.4210993184,13.6111710668,-160.80145072
3012,16.0666826062,14.2632071129,11.7744227089,12.3676640675,11.6063936489,14.3011591172,4671.192066,14.858382318,11.4632931163,11.4171899273,11.5632408937,10.052485459,15.5339693996,13.9196407942,-1.03968893203,4.80983913499,0.503825561835,14.4267820867,0.462843965304,13.5953381553,10.052485459,-1.88168471603,170.702004404,0.98563733502,16.0666826062,14.2632071129,11.7744227089,12.3676640675,11.6063936489,14.3011591172,14.858382318,11.4632931163,11.4171899273,11.5632408937,15.5339693996,13.9196407942,14.4267820867,13.5953381553,-160.801060772
3013,16.0717725792,14.2618728359,11.7499127368,12.3593699505,11.5869068471,14.2993876871,4667.36197091,14.8575862927,11.4528970889,11.4163997588,11.5631550611,10.0441201107,15.535099491,13.9187982609,-1.01965901138,4.79667687945,0.511316608462,14.4231675924,0.473391640189,13.5956090451,10.0441201107,-1.68061465585,174.315034592,0.987762029804,16.0717725792,14.2618728359,11.7499127368,12.3593699505,11.5869068471,14.2993876871,14.8575862927,11.4528970889,11.4163997588,11.5631550611,15.535099491,13.9187982609,14.4231675924,13.5956090451,-160.800869569
3014,16.0675851984,14.268588551,11.7707687747,12.3743781114,11.6068871523,14.3041611752,4662.09172659,14.8587056975,11.4706136332,11.4316772645,11.5735679688,10.1184281668,15.5333227732,13.9257110417,-1.02577567762,4.79501629248,0.503834148463,14.4275621969,0.470814389457,13.6049939794,10.1184281668,-1.73610637625,174.801134538,0.965821063934,16.0675851984,14.268588551,11.7707687747,12.3743781114,11.6068871523,14.3041611752,14.8587056975,11.4706136332,11.4316772645,11.5735679688,15.5333227732,13.9257110417,14.4275621969,13.6049939794,-160.799916711
